Shipment_ID,Order_Date,Shipping_Mode,Region,Market,Product_Category,Priority,Distance_km,Shipment_Weight_kg,Order_Quantity,Scheduled_Days,Actual_Delivery_Days,Shipping_Cost,Sales_Value,Delay_Days,On_Time,Cost_per_Unit
SHP100000,2017-01-01 00:00:00.000000000,Second Class,South America,LATAM,Technology,Critical,1104.97,14.48,1,3,4,100.18,159.44,1,0,100.18
SHP100001,2017-01-01 04:22:55.887943971,Standard Class,Western Europe,LATAM,Clothing,Medium,707.31,10.0,3,4,4,79.8,357.0,0,1,26.599999999999998
SHP100002,2017-01-01 08:45:51.775887943,Standard Class,Oceania,Africa,Office Supplies,High,657.17,18.2,3,4,4,84.65,192.87,0,1,28.21666666666667
SHP100003,2017-01-01 13:08:47.663831915,Standard Class,South America,Pacific Asia,Clothing,High,657.17,7.3,3,4,5,59.37,375.83,1,0,19.79
SHP100004,2017-01-01 17:31:43.551775887,Same Day,Eastern Asia,USCA,Sports,High,2084.19,12.47,3,1,3,172.335,439.99,2,0,57.445
SHP100005,2017-01-01 21:54:39.439719859,Second Class,South America,Europe,Clothing,Medium,1311.98,17.77,2,3,1,121.91,363.42,0,1,60.955
SHP100006,2017-01-02 02:17:35.327663831,First Class,South America,USCA,Office Supplies,High,544.28,3.91,1,2,2,68.86,147.95,0,1,68.86
SHP100007,2017-01-02 06:40:31.215607803,Standard Class,Western Europe,Africa,Office Supplies,Medium,1138.37,32.004999999999995,2,4,5,124.53,419.93,1,0,62.265
SHP100008,2017-01-02 11:03:27.103551775,First Class,Western Europe,USCA,Sports,Low,931.2,10.43,4,2,1,100.51,350.09,0,1,25.1275
SHP100009,2017-01-02 15:26:22.991495747,Second Class,USCA,Africa,Sports,High,118.85,4.0,6,3,5,63.75,585.25,2,0,10.625
SHP100010,2017-01-02 19:49:18.879439719,Second Class,Eastern Asia,Africa,Clothing,High,334.59,13.29,4,3,3,76.3,282.41,0,1,19.075
SHP100011,2017-01-03 00:12:14.767383691,Same Day,Central America,Africa,Office Supplies,High,978.5,12.41,5,1,1,119.43,390.3,0,1,23.886000000000003
SHP100012,2017-01-03 04:35:10.655327663,Standard Class,Western Europe,USCA,Office Supplies,Low,1961.62,11.65,1,4,5,113.77,162.29,1,0,113.77
SHP100013,2017-01-03 08:58:06.543271635,Standard Class,Central America,LATAM,Clothing,Low,661.45,21.01,3,4,4,99.88,316.29,0,1,33.29333333333333
SHP100014,2017-01-03 13:21:02.431215607,Second Class,Eastern Asia,Europe,Sports,Critical,511.27,18.38,4,3,1,105.09,420.74,0,1,26.2725
SHP100015,2017-01-03 17:43:58.319159579,Second Class,South America,Africa,Office Supplies,Low,849.39,14.35,3,3,3,88.75,264.35,0,1,29.583333333333332
SHP100016,2017-01-03 22:06:54.207103551,Second Class,USCA,Pacific Asia,Clothing,High,487.38,15.6,4,3,5,78.88,220.22,2,0,19.72
SHP100017,2017-01-04 02:29:50.095047523,Standard Class,South America,Africa,Sports,High,628.25,11.5,7,4,4,95.27,698.43,0,1,13.61
SHP100018,2017-01-04 06:52:45.982991495,Standard Class,USCA,USCA,Clothing,High,776.28,32.004999999999995,3,4,4,124.99,411.5,0,1,41.663333333333334
SHP100019,2017-01-04 11:15:41.870935467,Standard Class,Central America,Africa,Sports,Low,320.21,5.4,2,4,6,48.13,311.78,2,0,24.065
SHP100020,2017-01-04 15:38:37.758879439,Standard Class,Eastern Asia,Pacific Asia,Sports,High,1357.06,13.16,3,4,4,81.27,228.39,0,1,27.09
SHP100021,2017-01-04 20:01:33.646823411,Second Class,Eastern Asia,LATAM,Office Supplies,High,271.39,12.63,2,3,3,61.77,269.66,0,1,30.885
SHP100022,2017-01-05 00:24:29.534767383,Second Class,Western Europe,USCA,Technology,Medium,242.14,19.05,3,3,4,70.43,305.97,1,0,23.47666666666667
SHP100023,2017-01-05 04:47:25.422711355,Standard Class,Central America,USCA,Office Supplies,Medium,902.48,7.66,2,4,5,84.68,139.83,1,0,42.34
